Grupo,Participante,Minuto,C3,C4,CZ,EMG,F3,F4,F7,F8,FP1,FP2,FZ,LOG,O1,O2,P3,P4,PZ,ROG,T3,T4,T5,T6
0,GH2,14,1.3987184237219914,1.3475666460859004,1.338272701980432,,1.3392178591437682,1.3059038529159963,1.3314787760353812,1.2700639425797808,1.2069171156412348,1.2152035436136002,1.2275348690312529,1.1651562949754413,1.427748170003478,1.4523547648676727,1.4112016612453866,1.3831842978554556,1.3941831840070285,1.1926022946565873,1.4881073132508218,1.45260618129643,1.4299529033392204,1.4084786497408435
0,GH2,15,1.3057271737153247,1.3661382706865686,1.347333716794586,,1.3413119866987493,1.3649328259605855,1.2975620093948443,1.3005499169252295,1.2458585086569878,1.2634502673972137,1.2854003491466204,1.2054224857058986,1.4240319805301112,1.448952669093315,1.3769941615534576,1.3763213753068961,1.386219713772305,1.238412167682934,1.4801055215340215,1.4346298798250992,1.3728964686383454,1.424809585012323
0,GH2,16,1.3913192582829088,1.4186703205402682,1.3779922059795455,,1.365242993497099,1.3519465333833334,1.321701686759897,1.2975744445703874,1.257393753680218,1.2528844095313576,1.3047594884255347,1.1842613100588322,1.4455989630413355,1.455377825185608,1.418625293086813,1.4326334848158675,1.4073385502844549,1.22758223499788,1.4835835051109991,1.4472513319959932,1.4590829371656329,1.4596380559328945
0,GH2,17,1.3632244682925363,1.4083104066850851,1.3603730054363767,,1.3621371257349626,1.3791250255947327,1.3202388244161214,1.3063498335246524,1.313544756245989,1.3225894612504632,1.353698938191218,1.137934748450357,1.3505920936617235,1.3411829089814717,1.390940611148357,1.3913814537327522,1.360159710729129,1.1340265564393954,1.4136292857998378,1.3546646797345259,1.3818927621785604,1.3558483421067697
0,GH2,18,1.3896716160465243,1.4019867160249941,1.3927917161278986,,1.3157195873058627,1.4207410343975333,1.32625109854573,1.3927373626338222,1.2134878698242195,1.2716209710669981,1.2836188921851175,1.223701908699307,1.490550950967692,1.4713936434250845,1.4358683232528515,1.419471963590239,1.4091281867706438,1.2334498345368323,1.484384554941425,1.4585751685456447,1.473201022068177,1.4615056788279168
0,GH2,19,1.3972170236948527,1.3468674814142692,1.3383865253404357,,1.3395029806984722,1.3082102020418607,1.341140003113046,1.268556201739524,1.2026254367105649,1.2132246440696053,1.2319830867857071,1.2210844302617492,1.437719305486606,1.462502044565545,1.4062624345744466,1.3789482842019343,1.3936670352167786,1.2544387801098287,1.4870098600618353,1.4490128962827098,1.4283576873809034,1.4096555175117038
0,GH2,2,1.3215770387415697,1.3809720302649857,1.3560215906051376,,1.3471471578463006,1.3642969245283776,1.2907482226475568,1.3023147722589201,1.2448285138175368,1.261137609290386,1.2911978011986507,1.2008243241033763,1.4181179254925493,1.4375195970508359,1.3798425542458572,1.3723359694519153,1.394069008735774,1.221934128830529,1.4673126191508181,1.434757477526081,1.384408995885114,1.4161671709904249
0,GH2,20,1.4122861075952444,1.4288145802548131,1.400584540979845,,1.372052669902632,1.38324370392366,1.303632478915212,1.3378867208258878,1.2213710187316618,1.264672121348843,1.2983991220934172,1.1791670876794402,1.4359245594894556,1.4594997108306647,1.3944648731938525,1.4285827486094234,1.4311266045084197,1.2540549316615983,1.4628177660983355,1.4765328377446043,1.4229588223563812,1.4482082312426123
0,GH2,21,1.2517673467885901,1.2495101472639318,1.225401712448264,,1.2412692512105459,1.333674628290764,1.2490776469257396,1.2586149599126846,1.1994802398642361,1.217880882304432,1.2104150029664558,1.2208318344149867,1.2833273609023834,1.2701969218842588,1.2576358309181956,1.2331847886383958,1.2467839213577723,1.1791540328456815,1.3605415382541437,1.3209199672547454,1.316751383166187,1.257741416444115
0,GH2,22,1.321037860342538,1.4895048707980947,1.4109308971129564,,1.317903171234366,1.4047870140338916,1.275151013345032,1.4260584066484514,1.3273626854395304,1.369707087512783,1.3721652442512744,1.2740343731817796,1.4571414238709979,1.480503099134169,1.4435678311468874,1.4713993594379522,1.4360013275156458,1.2879835365368981,1.4713353644135312,1.4943507731414938,1.4771512665876456,1.4786953583933031
0,GH2,23,1.3338988850950617,1.48748133975098,1.4009637458806803,,1.31134077912015,1.425002451703768,1.2902958600466523,1.4587196967699323,1.317137432660259,1.3713173681085027,1.3573598280939057,1.2875091367449985,1.4717911667154293,1.4997405434906994,1.4431747868235192,1.4742213866503528,1.429713147901495,1.31106624305294,1.4662833846247008,1.5005705102716658,1.477516460941105,1.4918020438392305
0,GH2,24,1.3968456050832587,1.4013230962440606,1.381962057066973,,1.347634702118068,1.365138407034648,1.3187468286706918,1.3292902153503752,1.2060763588972152,1.239116931452552,1.2481081692621443,1.2135682821896898,1.4337775655042169,1.4618803295967235,1.4299614969016352,1.4153015510176385,1.4324999616829817,1.2645106353482927,1.4605167682076066,1.4664041643914785,1.442487530621588,1.456041394285334
0,GH2,25,1.3336257894134775,1.338826555101331,1.314434493932873,,1.2285033638147673,1.3075248469222642,1.2493208730909389,1.2439702115208224,1.1722556697810291,1.175985587321085,1.1889980408870462,1.2204987085522054,1.4395424502559582,1.4754157950751519,1.3845299722271938,1.4202110616776322,1.3947691120838823,1.1962359291770002,1.4319286068770603,1.4664995653324011,1.4287241702003148,1.4600894662616788
